product_name,product_department,product_price,product_quantity,date_updated,brand_name
Bagel - Whole White Sesame,Bakery,$4.30,97,11/1/2024,Einstein's
Sauce - Caesar Dressing,Condiments,$8.05,81,12/28/2024,Kraft
Shiratamako - Rice Flour,Baking,$7.99,71,3/7/2024,Bob's Red Mill
Tart - Raisin And Pecan,Bakery,$1.06,86,1/18/2025,Delish
Radish,Produce,$2.47,22,11/6/2024,Kroger
Juice - V8 Splash,Beverages,$1.25,67,1/10/2024,V8
Red Currants,Produce,$6.77,49,10/1/2024,Kroger
Soup - Base Broth Beef,Canned Goods,$5.44,62,3/9/2025,Campbell's
Tomatoes Tear Drop Yellow,Produce,$0.64,73,2/9/2025,Kroger
Mussels - Cultivated,Seafood,$9.34,24,7/31/2024,Kroger
"Bread - Crumbs, Bulk",Bakery,$4.49,88,1/12/2025,Kikkoman
"Beans - Long, Chinese",Produce,$4.73,47,9/22/2024,Del Monte
"Beans - Navy, Dry",Dry Goods,$4.60,44,1/20/2024,Del Monte
Juice - V8 Splash,Beverages,$1.15,67,1/13/2024,V8
"Basil - Dry, Rubbed",Spices & Seasonings,$8.69,21,2/4/2024,Kroger
Apple - Granny Smith,Produce,$5.06,72,1/12/2024,Kroger
"Lid - High Heat, Super Clear",Housewares,$1.23,5,2/9/2024,Farberware
Oranges - Navel,Produce,$4.78,46,6/6/2024,Kroger
Berry Brulee,Bakery,$7.59,50,8/25/2024,Kroger
Lobster - Canned Premium,Seafood,$7.61,57,4/15/2024,Kroger
Sauce - Caesar Dressing,Condiments,$8.25,16,4/10/2025,Kraft
Ham - Procutinni,Meat & Deli,$5.70,8,1/9/2025,Kroger
Veal - Ground,Meat & Deli,$7.67,5,12/19/2024,Kroger
Oil - Cooking Spray,Cooking Essentials,$4.20,6,6/11/2024,Pam
"Extract - Vanilla,artificial",Baking,$2.91,20,6/8/2024,McCormick
"Mushroom - Porcini, Dry",Dry Goods,$8.14,71,7/26/2024,Kroger
Wine - Cabernet Sauvignon,Beverages,$7.41,54,3/10/2024,Chateau Bonnet
